product_id,product_name,product_category,product_sub_category
9eee3547-9ca0-4fe4-8be5-a6c2dd2ef96d,BrownBox SwiftWatch X500,Gadgets,Smartwatch
bff42cfb-2730-490c-9da8-a0987e686ec9,SmartX Pro,Wearable Technology,Smartwatch
3de8f0d9-7e14-4673-b181-61194ababee4,StridePro Runner,Men/Women/Kids,Shoes
594ef1d3-3dfc-4829-9e98-5276c70c152f,Urban Explorer Jacket,Men/Women/Kids,Clothing
b739e42e-ba7d-40da-8e4b-f5472506a442,Elegance Extendable Dining Table,Furniture,Dining Table
89b18fc7-76d5-4c38-939b-90d6a588fa1f,Flexi-Comfort Office Desk,Furniture,Office Desk
1338b91b-975f-463a-acdc-d6e2b6defe35,BlendMaster Elite 4000,Home & Kitchen,Blender
21ba0285-1c61-4763-b821-6a7ca6144afc,BrewMaster Elite,Home & Kitchen,Coffee Maker
f2451f03-ff35-4208-aca4-00aa56c7bf6e,StreamEase,Subscription,Streaming Service
b37ecc27-6cef-4396-b68c-f696102bd820,TurboBlend 3000,Home and Kitchen,Blender
11b9e55a-fbb8-4c20-8878-3f8cb7e3aefa,Chef's Choice Elite Cookware Set,Home and Kitchen,Cookware Set
a3c4d4ba-2899-4422-880d-1fd954f8bff8,ThermoTech SmartHome Pro 3000,Smart Home Devices,Smart Thermostat
7286180f-0990-46d4-8708-c8cbf4ddc790,ThermoSmart Elite 5000,Smart Home,Smart Thermostat
818b4450-3302-43a1-9668-ef93646384c4,StreamMaster Pro,Digital Services,Streaming Service
a482e45b-20d5-4860-b699-f8596b300064,GrassMaster Pro 2000,Home and Garden,Lawn Mower
3dcf8ee0-822c-4f45-b26e-9e67852919af,Arctic Shield 360° Winter Jacket,Clothing,Winter Jacket
c113a5cd-3479-4a14-a588-08f386bc4a12,AlpinePro Waterproof Jacket,Clothing,Jacket
a4949345-9e5b-41bc-b8c2-7aeb08cc776a,UrbanTrend Classic Straight Jeans,Clothing,Jeans
34ea2768-d7d1-4640-af5b-29d3ab3a7941,EcoFresh 5000,Appliances,Washing Machine
d9c8d768-146e-4410-9b2b-1ed8cd8421a7,CoolTech 7000,Appliances,Smart Refrigerator
38985df5-b644-4e35-96b3-3e2aa8b0604c,BBX Cyclone Pro 2023,Appliances,Vacuum Cleaner
267952ec-6ec9-4a84-9262-fd56defed5d4,CoolWave 3500,Appliances,Air Conditioner
a3fe6fa1-59e8-499e-bd30-a2b0cfa0ba2c,StreamEase Plus,Online Services,Streaming Service
9e43ad48-c96c-4b74-b9ea-365e47294a14,CloudSecure Pro,Online Services,Cloud Storage
22e139e6-85cf-4108-abbe-28451cec79d3,MelodyStream,Subscription Services,Music Streaming
f8380fd5-bc48-4ad4-bd2c-a66d59dfe8c3,StreamWave,Subscription Services,Online Streaming
984ef9d5-924e-428e-9e49-efd73edd9c27,StreamPlus Premium,Subscription Service,Streaming Service
16e3bff4-17b1-408b-9cdb-0b587cecc16c,EcoClean 4000,Home Goods,Vacuum Cleaner
7ba161e3-08ab-4a43-a239-ae3d2c1786f3,BrewMaster 3000,Home Goods,Coffee Maker
44ad0352-ed4e-48f4-a6d8-7610e955c776,TurboBlend 5000,Home Goods,Blender
aa210ee3-ed26-43be-89a5-e819a2452935,FlexiCoffee Pro Convertible Table,Home,Furniture
80b97a26-054b-45c2-a3c9-4c6801a4e84b,Visiomeg UltraSmart 65,Home Electronics,Smart TV
043138d9-7574-4678-9966-b0706b0ec52b,StrideMax Running Shoes,Apparel,Shoes
235e78c9-f7c0-43e6-ae1b-1267f7d2c9f8,NetLink UltraRX300,Networking,Router
c0523e60-d06e-453d-9bab-79e7c8351695,Luna Touch LED Table Lamp,Home Decor,Table Lamp
bb4ce626-b216-47ed-8d14-90af8a4231d7,Artistry Canvas Masterpiece,Home Decor,Wall Art
5ddd9d33-601f-4e30-a16f-b2bf7e64022a,Luminous Artis Table Lamp,Home Decor,Lamp
34651df6-0b5b-4191-8a21-2c1072413d80,ModernGlow LED Desk Lamp,Home Decor,Lamps
224a7e95-154b-426c-be6b-3bd2cf14b3c7,Moroccan Mystique Rug,Home Decor,Rugs
b10d3eba-2c3f-456e-9978-eb0738dc069a,Whispering Shadows by James Harper - Hardcover Edition,Books,Fiction
57c25ff5-4ca8-42e1-8df9-f420e720f5cf,StreamEase,Services,Online Streaming
2f484ee6-4877-4122-8296-da5cdc4c6dc2,StreamMax,Services,Streaming Service
bca1b89a-af11-4a57-95c7-87f6d3b0e3a6,StreamBox Platinum,Services,Online Subscription
427413e5-417c-4901-b45e-585b56c528ff,SubMaster,Services,Subscription
b6fa0325-ef65-4484-8f7e-7a3945938830,StreamHub Plus,Services,Streaming
4048e626-ad94-4ec3-bce7-2f339e04ede3,StarNet UltraConnect 150,Services,Internet Subscription
e4414ece-256f-4823-87d6-aebbc0ab830e,SecureShield Antivirus Pro,Software,Antivirus Program
9889a28a-6728-47e6-8c32-3ac957990c2c,CloudSync Pro,Software,Subscription Service
9b50973d-8d68-427c-92a2-54136a4cffa7,PhotoMaster Pro,Software,Photo Editing Software
3dc5ef25-b869-4a2d-8a9e-84c742c1a26b,ArtisticFlow Pro,Software,Graphic Design Software
adad8127-df3b-4c1c-acd7-d0ff15916f23,BrownBox ProX15,Computers,Laptop
f47193f9-79a0-4b70-9a57-167825fd6f95,UltraTech X2000,Computers,Laptops
